word,activation,imagery,pleasantness
deeply,1.4,2.2,2.0
deer,1.8,3.0,1.7778
defeat,2.4444,2.6,1.5
defeated,2.3333,2.4,1.5
defects,1.625,2.2,1.7143
defend,2.6,2.4,2.0
defendants,1.7,2.6,1.6667
defended,2.0,2.0,2.1111
defending,2.4,2.0,1.8
defense,2.2222,2.0,1.625
defenses,1.875,2.0,1.8571
defensive,2.2857,2.0,2.0
deficiencies,1.25,1.0,1.4545
deficiency,1.3,1.2,1.4444
deficit,1.4,1.2,1.3333
defiling,1.5556,1.2,1.5
define,1.7692,1.2,1.9167
defined,1.6667,1.2,1.75
defining,2.1538,1.0,1.9167
definite,1.7,1.2,1.5556
definitely,1.5556,1.2,2.0
definition,1.8462,1.2,1.75
deflated,1.6667,2.6,1.5
degraded,2.0,1.2,1.625
degrades,2.3636,1.0,1.8
degree,2.0,2.2,2.1
degrees,1.9231,2.0,1.9167
dejected,1.6,1.2,1.6667
delay,1.3333,1.6,1.3636
delayed,1.5,1.6,1.6667
delegates,1.8,1.8,1.7778
delegation,1.7143,1.6,1.8333
deliberate,2.0833,1.4,1.6364
deliberately,2.0,1.2,1.75
delicate,1.3333,2.8,2.25
delight,2.2222,2.4,2.375
delighted,2.4615,2.2,2.4167
delightful,2.1667,2.0,2.5455
delirious,2.5,2.4,1.7778
deliver,2.2,2.8,2.0
delivered,2.3333,2.0,2.125
delivery,2.5,2.4,2.1818
demand,2.4444,2.4,1.75
demanded,2.5,1.6,1.7778
demanding,2.75,1.8,1.5455
demands,2.4,1.4,1.5556
democrat,1.5455,2.0,1.6
democratic,1.5556,1.6,1.875
democrats,1.5,2.4,1.5714
demographic,1.5455,1.0,1.9
demonstrate,2.25,2.2,1.8182
demonstrated,2.0,1.6,1.7778
demonstration,2.1818,2.8,1.8
denial,1.9167,1.2,1.3636
denied,1.9167,1.2,1.4545
denominations,1.4,1.0,1.6667
density,1.4,2.2,1.7778
dental,1.9167,3.0,1.6364
dentist,2.1429,3.0,1.8333
denver,1.4615,2.0,2.0833
deny,1.7,1.4,1.6667
denying,2.1,1.4,1.4444
departing,2.3,2.0,1.4444
department,1.7,2.4,1.7778
department*s,1.6154,1.8,1.8333
departments,1.6923,2.4,1.75
departure,2.0,1.8,1.8571
depend,1.5714,1.4,1.6667
dependence,2.0,1.2,1.5714
dependent,1.5,1.2,1.6923
depending,1.875,1.0,1.8571
depends,2.0,1.0,1.6667
deposited,2.1111,2.4,2.0
depot,1.125,1.6,1.7143
depreciation,1.6667,1.0,1.5455
depressed,1.8333,2.8,1.5455
depression,1.5,2.4,1.5455
depth,1.6,2.4,1.8889
depths,1.3333,1.8,2.0
deputies,1.7273,2.6,1.7
deputy,1.6,2.8,1.6667
derive,1.9091,1.2,1.9
derived,1.8333,1.2,2.0909
descending,2.3333,2.2,1.75
descent,2.1,1.6,2.0
describe,2.1,1.2,1.7778
described,2.0909,1.2,1.9
describes,2.1667,1.2,2.0909
describing,2.3636,1.2,2.1
description,1.5,1.2,1.7143
descriptions,1.4444,1.0,2.0
desegregation,1.7778,1.4,2.125
desert,1.75,2.8,2.0
deserted,1.5833,2.4,1.4545
deserve,1.75,1.4,2.0
deserved,1.8889,1.2,2.0
deserves,1.7,1.2,2.1111
design,1.6667,2.8,2.0
designated,1.9167,1.6,2.0909
designed,2.0,1.4,1.9091
designer,1.7,2.6,2.1111
designers,1.7778,2.4,1.875
designs,1.7778,2.6,2.0
desirable,2.0,2.4,2.375
desire,2.375,1.6,2.1429
desired,2.4667,1.4,2.5
desires,2.1818,1.6,2.4
desk,1.3,3.0,1.7778
despair,1.9091,1.6,1.5
desperate,2.2222,2.0,1.5
desperately,2.25,1.4,1.7143
despite,1.1429,1.0,1.6667
destiny,1.9167,1.6,2.4545
destroy,2.2727,2.8,1.4
destroyed,2.4,2.4,1.4444
destroying,2.3333,2.4,1.5
destruction,2.6923,2.6,1.5
destructive,2.375,2.0,1.5714
detached,1.8333,1.6,1.6364
detail,1.4,1.6,1.8889
detailed,1.5556,1.6,1.875
details,1.5385,1.4,1.75
detect,2.1111,1.0,1.75
detected,2.2222,1.0,1.375
detection,2.1818,1.0,1.6
detective,1.9091,2.8,1.8
detectives,2.0769,3.0,1.9167
detergent,1.3,3.0,2.0
determination,2.5,1.6,2.3636
determine,2.0,1.0,2.1111
determined,2.3,1.6,2.3333
determines,2.2857,1.4,1.6667
determining,2.1667,1.0,1.9091
detroit,1.25,3.0,1.625
develop,2.1111,1.0,2.0
developed,1.8889,1.6,1.875
developing,2.6154,1.4,2.4167
development,2.6667,1.4,2.3636
developments,2.2,1.6,2.2222
develops,2.2,1.4,1.8889
deviation,2.1111,1.0,1.5
device,1.5,2.6,1.9091
devices,1.4444,2.6,1.75
devil,1.9,3.0,1.4444
devilish,2.3333,2.2,1.6364
devised,1.7,1.0,1.6667
devote,2.2727,1.0,2.1
devoted,2.1111,1.0,2.0
devoting,2.375,1.0,1.8571
devotion,1.9091,1.2,2.3
diagnosis,2.0,1.8,1.8182
diagnostic,1.6,1.0,1.6667
diagram,1.6,3.0,1.7778
dial,1.9167,3.0,1.9091
dialled,2.0833,1.6,1.9091
dialogue,2.3636,2.8,2.1
diameter,1.4,2.0,1.8889
dice,1.6667,3.0,1.9091
dictatorship,2.0,1.6,1.8333
dictionary,1.4615,3.0,1.9167
did,1.9,1.0,1.7778
didn*t,1.6,1.0,1.7778
die,2.0,2.6,1.4444
died,1.7,2.8,1.4444
dies,1.7692,2.6,1.5
diet,1.9286,2.4,1.6923
dieting,2.375,2.2,1.4286
differ,1.4286,1.0,1.6667
differed,1.8889,1.0,1.625
difference,1.7857,1.2,1.6154
differences,1.5,1.4,2.0
different,1.7,1.4,1.8889
differential,1.4444,1.2,1.75
differently,1.25,1.0,1.5714
differs,1.6667,1.0,1.9091
difficult,1.75,1.4,1.3636
difficulties,1.5833,1.0,1.3636
difficulty,1.8,1.4,1.5556
diffusion,1.9167,1.4,1.8182
dig,2.5,2.8,1.8182
dignity,2.0,1.0,2.2222
dilemma,2.2727,1.2,1.5
diligent,1.75,1.2,2.1818
dill,1.1111,2.0,1.625
dim,1.2,2.4,1.5556
dimension,1.7,1.6,1.8889
dimensional,1.6667,1.6,1.9091
dimensions,1.8182,1.4,1.9
diminished,1.4545,1.6,1.5
dimly,1.375,1.6,1.5714
dimmed,1.2222,2.4,1.625
din,1.8889,1.4,1.625
dining,2.125,2.6,1.8571
dinner,1.9167,2.8,2.0
diplomacy,1.875,1.2,2.1429
diplomatic,1.8889,1.6,2.125
dire,2.0,1.0,1.5556
direct,1.4444,1.0,1.875
directed,1.8333,1.4,2.0
direction,1.9167,1.6,2.0909
directions,1.6,2.4,1.8889
directly,1.6667,1.0,1.75
director,1.625,2.6,1.7143
directors,1.7778,2.6,1.75
dirt,1.5,3.0,1.7143
dirty,1.9333,3.0,1.3571
disabled,1.5455,2.8,1.5
disagreement,2.3,1.8,1.6667
disappear,1.9091,2.0,1.4
disappeared,1.7778,1.8,1.625
disappointed,1.75,1.8,1.7143
disappointment,1.8571,1.4,1.6667
disapproval,1.8333,1.6,1.3636
disarmament,2.0909,1.2,2.0
disaster,2.5,2.8,1.3333
disastrous,2.4,2.0,1.4444
discharge,2.2308,1.0,1.3333
discipline,2.125,1.4,1.7143
disciplined,2.1667,1.2,1.6364
disclosed,1.5,1.0,1.4444
disclosing,1.8889,1.0,1.5
discount,1.5,1.4,2.0769
discouraged,1.5556,2.0,1.625
discourse,1.5556,1.0,1.625
discover,2.2727,1.8,2.3
discovered,2.0909,1.8,2.4
discoveries,2.6154,1.2,2.4167
discovery,2.8889,1.2,2.5556
discrepancy,1.8182,1.0,1.1818
discrete,1.7778,1.2,1.5556
discretion,1.5,1.2,2.1111
discrimination,2.0,1.8,1.1667
discuss,2.6364,2.0,2.1818
discussed,2.375,1.6,2.0
discussing,2.5,2.2,1.75
discussion,2.7143,2.2,2.0
discussions,2.5833,2.2,2.0
disease,1.8182,2.4,1.1818
diseases,1.7778,2.2,1.2222
disgrace,1.5556,1.8,1.2222
disgruntled,1.875,1.8,1.25
disguised,1.8182,2.4,1.4545
disgust,1.875,2.2,1.375
disgusting,2.3333,2.2,1.2222
dish,1.7273,3.0,1.7273
dishes,1.6667,3.0,1.5556
disinfectant,1.7,2.2,1.5
disk,1.5,3.0,1.75
dislike,1.5714,1.4,1.1429
disliked,1.8,1.4,1.1
dismissed,2.0909,1.8,1.7273
disobey,2.1111,1.8,1.3333
displacement,1.6667,1.0,1.4444
display,2.1818,2.2,2.0
displayed,2.1818,2.0,2.0909
displays,1.9,2.0,1.9
disposal,1.875,1.6,1.25
disposed,2.0909,1.4,1.2727
disposition,1.5,1.4,1.8333
dispute,2.4167,1.8,1.1667
disrespect,1.5556,1.2,1.1111
disrupts,1.8889,1.2,1.1111
distance,1.4444,1.8,1.4444
distances,1.5556,1.4,1.5556
distant,1.5833,1.4,1.3333
distilled,2.0,1.4,1.5385
distinct,2.0,1.2,1.7143
distinction,2.0,1.0,1.6667
distinctions,2.125,1.0,1.625
distinctive,1.7692,1.0,2.0769
distinctly,2.0,1.0,1.8571
distinguish,2.3333,1.6,2.1111
distinguished,2.125,1.4,2.125
distorted,2.0,2.2,1.2857
distraught,2.3636,1.6,1.1818
distress,2.0,1.8,1.2727
distributed,2.5455,1.2,1.9091
distribution,2.2222,1.2,2.0
distributions,2.1818,1.2,2.0
district,1.6364,1.8,1.7273
districts,1.6667,1.8,1.6667
disturb,2.5,1.8,1.2
disturbance,2.4,1.6,1.2
disturbed,1.875,1.6,1.25
disturbing,2.5556,1.6,1.2222
ditch,1.4444,3.0,1.4444
dive,2.5455,3.0,2.0909
diverse,2.4,1.4,2.2
diversity,2.1,1.6,2.3
divide,1.8571,2.0,1.2857
divided,1.75,2.2,1.25
divine,1.875,1.6,2.375
division,1.8571,2.2,1.4286
divisions,2.0909,2.2,1.6364
divorce,2.0,2.4,1.2857
do,2.625,1.2,1.5
doc,1.7778,2.4,2.0
docility,1.625,1.0,1.875
doctor,2.0,3.0,2.1
doctor*s,2.0,2.2,1.9091
doctors,1.7778,3.0,2.0
doctrine,1.75,1.6,1.5
document,1.7143,3.0,1.2857
documents,1.75,3.0,1.375
dodge,2.2857,2.4,1.8571
does,2.2143,1.2,2.0
doesn*t,1.8,1.4,1.5
dog,2.0,3.0,2.5556
doggie,2.1,2.6,2.5
doggy,1.75,2.6,2.375
dogs,1.7143,3.0,2.4286
doing,2.5,1.2,1.8333
doleful,1.7273,1.0,1.8182
doll,1.4,3.0,2.4
dollar,1.4444,3.0,2.5556
dollars,1.5556,3.0,2.5556
dolls,1.5,3.0,2.1667
dolores,1.4286,1.8,1.5714
dome,1.3636,3.0,1.5455
domestic,1.6667,1.8,1.7778
dominance,2.4444,1.8,1.3333
dominant,2.3846,2.0,1.9231
dominated,2.375,1.4,1.5
domination,2.25,1.4,1.25
dominican,1.8,2.0,1.6
don,1.6,2.2,1.6
don*t,1.3333,1.6,1.3333
done,1.4444,1.4,2.2222
donkeys,1.7273,3.0,1.6364
doomed,1.5556,2.2,1.2222
door,1.4444,3.0,1.7778
doors,1.3333,3.0,1.6667
doorway,1.7273,3.0,1.9091
dopey,1.375,2.2,1.375
dose,1.375,1.6,1.375
doses,1.2857,1.4,1.4286
dossiers,2.0,1.4,1.5
dot,1.5455,3.0,1.8182
dots,1.3333,3.0,1.6667
double,1.5556,2.6,1.8889
doubled,1.75,2.4,2.0
doubt,1.4545,1.0,1.1818
doubtful,1.25,1.2,1.25
doubtless,1.4444,1.2,2.0
doubts,1.6364,1.4,1.2727
dough,1.6667,2.6,2.1111
down,1.3,2.6,1.3
downstairs,1.625,3.0,1.625
downtown,1.4286,3.0,1.8571
downward,1.7,2.6,1.2
dozen,1.5455,2.6,1.7273
dozens,1.5556,2.6,1.7778
dr,1.4444,1.0,1.5556
draft,2.0,2.4,1.7273
drag,2.0909,2.6,1.1818
dragged,1.7,2.4,1.1
dragging,2.25,2.4,1.125
drain,2.4545,2.6,1.2727
drainage,1.7143,2.2,1.1429
drama,2.3333,1.8,2.0833
dramatic,2.4444,2.0,1.8889
dramaticallY,2.0,1.8,1.6667
drank,2.3333,2.4,1.4444
drape,2.0,2.2,1.5556
drapes,1.9167,2.2,1.6667
drastic,2.0769,1.2,1.5385
drastically,2.1429,1.2,1.1429
draw,2.0,2.6,1.5
drawback,2.125,1.4,1.375
drawing,2.3077,3.0,2.3077
drawings,1.8571,3.0,2.2857
drawn,1.8889,2.2,1.8889
draws,1.875,2.0,1.75
dreadful,1.7143,1.2,1.2857
dream,2.2727,2.6,2.5455
dreamboat,1.4545,2.2,2.4545
dreamed,2.1818,2.0,2.5455
dreaming,2.1111,1.8,2.6667
dreams,1.7273,2.0,2.2727
dreamt,2.0909,2.0,2.3636
drench,2.1111,1.8,1.2222
dress,1.8,2.4,2.1
dressed,1.8,2.0,2.1
dresses,1.5,2.2,1.75
dressing,2.0,2.0,1.6667
drew,2.0,1.8,1.6667
dribble,2.3636,2.6,1.4545
dried,1.6,1.8,1.4
drift,1.9,2.0,1.4
drifting,2.0,2.2,1.4286
drill,1.875,2.6,1.25
drilling,2.125,2.6,1.5
drink,2.0,2.6,1.8333
drinking,2.3636,2.6,2.0909
drinks,2.0,2.4,2.0
drippy,1.875,2.2,1.625
drive,2.4444,2.6,2.1111
driven,2.125,2.2,1.75
driver,2.0,3.0,1.8889
drivers,2.0909,2.6,1.9091
driveway,1.5556,3.0,1.7778
driving,2.75,2.4,1.875
droop,1.8571,2.0,1.2857
droopy,1.625,2.0,1.25
drop,2.0,2.6,1.2857
dropped,2.4286,2.6,1.2143
dropping,2.3,2.6,1.2
drops,2.0,2.6,1.4444
drove,2.2,2.0,2.0
drowsy,1.5,2.0,1.375
drug,1.2857,2.6,1.2857
drugs,1.3333,2.4,1.1667
drum,1.9091,2.6,1.5455
drums,2.0,3.0,1.6
drunk,2.1111,2.6,1.6667
dry,1.4444,2.2,1.5556
drying,1.9091,2.6,1.8182
dude,1.4286,2.4,1.4286
due,1.4545,1.8,1.4545
dug,1.875,3.0,1.375
duke,1.7778,2.0,1.6667
dull,1.3846,2.2,1.3077
duly,1.4286,1.2,1.75
dumb,1.25,1.6,1.5
dung,1.6,2.2,1.5
durable,2.0,1.6,2.0
duration,1.6667,1.0,1.9167
during,1.5556,1.2,1.5556
dust,1.3636,2.6,1.3636
dustbins,1.4444,2.4,1.5556
dusty,1.2222,2.2,1.1111
dutch,1.3333,1.8,1.3333
duties,2.0,1.6,1.5455
duty,1.625,1.6,1.5
dwelling,1.375,2.0,2.0
dwelt,1.2857,1.8,1.2857
dwight,1.5,1.6,1.6667
dying,2.2727,2.4,1.1818
dynamic,2.6667,1.0,2.3333
dysfunction,2.1111,1.2,1.1111
dysfunctional,2.1429,1.4,1.2857
each,1.5455,1.0,1.8182
eager,2.25,1.6,2.125
eagerly,2.3333,1.2,2.0
ear,1.4545,3.0,1.8182
earl,1.5556,1.6,1.7778
earlier,1.7778,1.6,1.8889
earliest,1.75,1.6,1.75
early,1.5714,1.8,1.2857
earn,2.2,1.6,2.1
earned,2.3636,1.6,2.2727
earnest,1.7778,1.6,1.8889
earnestly,2.1111,1.0,1.8889
earnings,2.1818,2.2,2.2727
ears,1.7273,3.0,1.8182
earshot,1.5,1.4,1.6
earth,1.5,3.0,2.25
earth*s,1.6364,1.8,2.1818
earthshaking,2.7143,2.2,1.5714
earthy,1.75,1.8,2.25
ease,1.5556,1.2,2.5556
easier,1.5556,1.2,2.3333
easiest,1.6667,1.2,2.2222
easily,2.3333,1.2,2.3333
east,1.75,2.0,1.9167
easter,1.6923,2.2,2.1538
eastern,1.5714,1.4,1.7143
easy,1.8333,1.2,2.3333
eat,2.5,2.6,2.625
eaten,2.0769,2.2,2.2308
eating,2.4286,2.6,2.2857
eccentric,2.1111,1.2,1.5556
echo,1.5,2.2,1.625
economic,1.7143,1.2,1.2857
economical,1.8182,1.2,1.9091
economically,1.8182,1.2,1.6364
economics,1.8182,1.6,1.4545
economy,2.0,1.4,1.4444
ecumenical,1.8,1.0,1.6364
edge,1.7273,2.8,1.5455
edges,1.6,2.6,1.6
edict,2.0,1.0,2.0
edition,1.5,1.2,1.8
editions,1.375,1.2,1.875
editor,1.6667,1.6,1.6667
editorial,1.8889,2.0,1.6667
editorials,1.6364,1.8,1.6364
editors,1.8,1.6,1.7
educated,2.3,1.4,2.6
education,2.1429,1.8,2.4286
educational,2.125,1.2,2.125
educator,1.75,1.8,2.125
effect,1.6667,1.0,1.6667
effected,2.0,1.2,1.8182
effective,2.0,1.2,1.8571
effectively,2.125,1.2,1.875
effects,2.0,1.2,1.7778
efficiency,2.25,1.0,2.125
efficient,2.1111,1.0,2.2222
effigy,1.5455,1.0,1.7273
effort,2.4444,1.8,2.3333
efforts,2.875,1.6,2.1429
eg,1.5714,1.2,1.8333
egg,1.25,3.0,1.7143
eggs,1.2857,3.0,1.8333
ego,2.0,1.8,1.6154
eight,1.4,3.0,1.7778
eighteen,1.4444,2.8,1.875
eighteenth,1.3,2.6,1.7778
eighth,1.25,2.4,1.7143
eighty,1.0,2.8,1.6667
either,1.3333,1.0,1.8
elaborate,2.2727,1.2,2.1
elbow,1.6,3.0,1.8889
elder,1.3333,3.0,1.75
elderly,1.6667,3.0,2.0
elected,2.7,1.8,1.8889
election,2.5714,2.8,1.8333
elections,2.7273,2.4,2.0
electoral,1.625,1.2,1.7143
electric,2.0,2.4,1.875
electrical,2.0769,2.4,2.0
electricity,2.5,2.6,2.0
electron,2.75,2.6,1.8571
electronic,2.4,2.2,1.8889
electronics,2.4,1.6,2.0
electrons,2.3333,2.4,1.9091
elegance,1.3333,2.2,2.125
elegant,1.5455,2.2,2.3
element,1.4444,2.4,1.875
elemental,1.4444,1.0,2.125
elementary,1.0,1.8,2.2
elements,1.8182,2.2,2.2
elephants,2.0,3.0,2.4286
elevated,2.25,3.0,2.0
elevator,2.4286,3.0,2.0
eleven,1.4167,3.0,2.0
eligible,1.8182,1.4,2.2
eliminate,2.4444,1.4,1.5
eliminated,2.375,1.6,1.7143
eliminating,2.1429,1.8,1.8333
elite,1.2727,1.6,1.9
eloquent,1.375,1.4,2.0
else,1.2222,1.2,1.75
elsewhere,1.5455,1.2,1.9
elude,2.0,1.6,1.375
emancipation,1.8889,1.2,2.375
embarrassing,2.0,2.2,1.7143
embassy,1.2857,2.8,1.6667
embers,1.3,2.2,2.3333
embodiment,2.0,1.6,2.0
embrace,2.4444,2.8,2.25
emerge,2.5556,2.6,1.875
emerged,2.0,2.0,2.2
emergency,2.7273,2.6,1.6
emerging,2.5,1.8,2.0
emotion,2.375,2.6,2.4286
emotional,2.5455,3.0,2.3
emotionally,2.7143,1.6,2.3333
emotions,2.4167,2.2,2.5455
emperor,1.6667,2.8,1.75
emphasis,1.8889,1.2,2.0
emphasize,2.4444,1.2,2.0
emphasized,2.5556,1.0,2.0
empire,1.9167,2.8,2.2727
empirical,1.5385,1.8,1.8333
employ,2.1429,2.0,1.6667
employed,2.1667,2.4,2.0
employee,2.125,3.0,2.2857
employees,2.5,3.0,2.2308
employer,2.1429,3.0,2.1667
employers,2.1111,2.6,2.125
employing,2.25,1.4,2.2857
employment,2.4286,1.6,2.3333
employs,2.1818,1.2,2.4
empowerment,2.8182,1.4,2.0
empty,1.0,3.0,1.3
emptying,1.6667,3.0,1.75
enable,1.9091,1.8,2.3
enabled,2.0,1.4,2.3
enabling,1.8,1.2,2.1111
enacted,2.0,1.2,2.0
enclosed,1.7,2.2,2.0
encounter,2.625,2.2,2.4286
encountered,2.4444,1.8,2.125
encourage,2.4444,2.2,2.375
encouraged,2.5455,2.2,2.5
encouragement,2.4,1.8,2.5556
encouraging,2.2,2.2,2.3333
end,1.1429,3.0,1.6667
endeavour,2.2857,1.4,1.6667
ended,1.25,1.6,1.8571
ending,1.0,2.0,2.0
endless,1.1818,2.2,1.7
ends,1.1429,1.6,1.8333
endurance,2.625,2.4,1.8571
endured,1.8889,1.2,2.0
enduring,2.0,1.2,2.2857
enemies,2.5556,3.0,1.5
enemy,2.2727,3.0,1.4
energetic,3.0,3.0,2.25
energies,2.875,2.2,2.0
energy,3.0,2.4,2.0
enforced,2.75,2.2,1.5714
enforcement,2.7143,2.0,1.8333
engage,2.8571,1.8,2.0769
engaged,2.2,1.4,2.2222
engagement,2.3333,3.0,2.375
engine,2.4,3.0,1.8889
engineer,1.875,3.0,2.0
engineering,1.7143,1.6,1.8333
engineers,1.6667,3.0,1.8
engines,2.0909,3.0,2.1
english,1.5,2.4,2.2222
englishman,1.4444,3.0,2.25
enjoy,2.2222,1.8,2.25
enjoyed,2.2222,1.6,2.25
enjoying,2.4286,2.2,2.1667
enjoyment,2.1818,1.8,2.5
enjoys,2.375,1.8,2.2857
enlisted,1.7778,1.8,1.875
enlivening,2.3077,1.0,2.6667
enormous,2.0,2.8,2.2857
enough,1.5,1.8,2.0
enquiries,2.0,1.6,2.0
enrage,2.9,2.2,1.7778
ensemble,1.6667,2.0,2.1818
enter,1.7778,3.0,2.0
entered,1.8182,2.4,2.0
entering,1.6667,2.4,2.0
enterprise,1.7778,2.2,2.25
enterprises,1.3333,2.0,2.0
enters,2.1818,2.2,2.2
entertain,2.5,2.6,2.1429
entertained,2.0,2.6,2.2857
entertaining,2.4286,2.6,2.1667
entertainment,2.5833,2.4,2.5455
enthusiasm,2.7273,2.6,2.5
enthusiastic,2.6667,2.6,2.375
entire,1.5,1.4,1.5714
entirely,1.4286,1.4,1.4
entities,1.9091,1.0,1.6
entitled,1.375,1.0,1.7143
entity,1.4444,1.2,1.5
entrance,1.6364,2.6,1.7
entreat,1.5556,1.2,2.125
entries,1.5556,1.6,1.75
entry,1.75,2.2,1.5714
envelope,1.0,3.0,2.0
envious,2.2,1.8,1.5556
environment,1.9091,2.8,1.8
enzymes,2.1111,2.4,2.125
epic,2.0,1.6,2.0
epidemic,2.3636,2.0,1.6
episode,1.8182,2.4,2.2
equal,1.5,2.4,2.3333
equality,1.25,1.6,2.1429
equally,1.3636,1.4,2.3
equation,1.2857,2.8,1.8333
equations,1.5833,2.8,1.8182
equestrian,2.4444,2.8,2.375
equilibrium,1.7778,2.6,2.5
equipment,1.625,3.0,2.2857
equipped,2.0,2.0,2.25
equitable,1.75,1.4,2.0909
equivalent,1.5385,1.4,2.0
era,1.1429,1.2,2.1667
erase,2.3333,3.0,1.6
erect,2.75,2.8,2.1429
erected,2.5714,2.6,2.2308
errands,2.1429,2.0,2.0
error,1.4444,2.8,1.75
errors,1.5,2.4,1.8571
escape,3.0,2.8,2.0
escaped,3.0,3.0,2.1
especially,1.6,1.0,2.3
essay,1.7273,3.0,1.7
essence,1.3,1.6,2.3333
essential,1.6364,1.4,2.2
essentially,1.5455,1.2,2.0
establish,2.2,1.2,2.2222
established,2.0,1.2,2.125
establishing,2.2,1.2,2.3333
establishment,1.8889,2.2,2.375
estate,1.4444,3.0,1.875
estimate,1.875,1.8,1.8571
estimated,2.2727,1.2,1.9
estimates,1.9,1.6,1.8889
etc,1.5455,1.2,2.0
eternal,1.4286,2.0,2.1667
ethical,1.7143,1.4,2.0
ethics,1.625,1.2,1.7143
ethnic,1.3333,2.6,1.4
european,1.5455,2.8,1.7
evaluate,2.4286,2.2,2.0
evaluated,2.125,2.2,1.8571
evaluation,2.3,2.4,1.8889
even,1.125,1.8,2.0
evening,1.0,3.0,2.0
evenings,1.1818,2.6,2.5
event,2.0,3.0,2.375
eventful,2.1429,1.8,2.1667
events,2.2857,2.8,2.1667
eventual,1.375,1.0,1.7143
eventually,1.4286,1.0,1.6667
ever,1.6429,1.0,2.0769
every,1.5,1.0,1.8889
everybody,1.8889,2.0,2.375
everyday,1.7,2.0,1.7778
everyone,1.625,2.4,2.2857
everything,1.4286,2.2,1.8333
everywhere,1.5,2.2,2.25
evidence,1.7273,2.2,2.1
evidenced,1.7,1.2,2.1111
evident,1.6667,1.2,1.75
evidently,1.5556,1.2,1.75
evil,2.4444,2.8,1.875
evoking,2.4286,1.8,2.0
evolution,2.0,2.6,2.3
exact,1.25,1.4,1.8571
exactly,1.4444,1.0,2.25
exaggerated,2.5385,1.2,1.8333
exam,2.375,3.0,1.7143
examination,3.0,2.8,2.0
examine,2.7,2.4,1.7778
examined,2.4,1.8,1.6667
examiner,2.25,2.8,1.8182
example,1.5556,2.4,2.125
examples,1.5455,2.6,2.1
exams,2.3,2.8,1.6667
exceed,2.1111,1.4,2.25
exceeds,2.0,1.0,2.0
excellence,2.3636,1.2,2.5
excellent,2.125,1.6,2.1429
except,1.625,1.4,1.7143
exception,1.4286,1.4,1.5
exceptional,2.0,1.4,2.4444
exceptions,1.5455,1.2,1.7
excess,1.7778,1.4,1.875
excessive,2.25,1.4,1.7143
exchange,2.5714,3.0,1.8333
excited,2.9091,3.0,2.5
excitement,2.875,2.8,2.2857
exciting,2.7778,2.6,2.5
exclaimed,2.6364,1.4,2.2
excluding,1.5,1.8,1.5556
exclusive,1.6667,1.4,1.875
exclusively,1.5,1.2,2.0
excuse,1.5714,1.6,2.1667
executed,2.3636,3.0,1.6667
execution,2.6364,3.0,1.6
executive,1.8889,2.2,2.25
exercise,3.0,3.0,2.625
exercised,2.7273,2.6,2.2
exercises,2.9091,2.8,2.6
exercycle,2.5,1.8,1.8889
exert,2.4444,1.6,2.2857
exerted,2.5455,1.4,2.2
exhausted,2.2857,2.8,2.0
exhausting,2.0833,2.0,1.5455
exhaustion,1.8889,1.8,1.875
exhibit,2.0,2.0,2.0
exhibited,1.875,1.4,2.0
exhibition,1.8889,2.4,2.25
exhibits,2.25,2.2,2.0
exiles,2.0769,1.2,1.5833
exist,1.5,2.4,2.2857
existed,1.0,1.4,2.2
existence,1.625,1.4,2.4286
existing,1.7143,1.4,2.5385
exists,1.2857,1.4,2.5
expand,2.6667,2.4,2.125
expanded,2.125,2.2,2.0
expanding,2.7143,2.2,1.6667
expansion,2.5455,2.6,2.3
expect,1.6364,1.6,2.4
expectation,2.0,1.4,2.1
expectations,2.2,1.4,1.8889
expected,1.5455,1.4,1.8
expecting,2.0909,2.0,2.2
expects,1.7,1.2,2.1111
expedition,2.2222,2.4,2.0
expended,1.6,1.6,1.5
expenditure,1.8889,1.8,1.875
expenditures,2.1111,1.8,1.375
expense,1.875,2.0,1.2857
expenses,2.0,1.6,1.2
expensive,2.0,2.6,1.3333
experience,2.3636,1.6,2.4
experienced,2.1429,2.0,2.0
experiences,2.2857,1.8,2.1667
experiment,2.375,2.6,1.8571
experimental,2.1667,1.8,1.4
experimentation,2.5455,2.2,1.9
experiments,2.5714,2.2,1.8333
expert,2.0,2.4,2.1429
experts,2.1,2.4,2.0
explain,2.3333,1.4,1.875
explained,2.2222,1.4,1.875
explaining,2.4545,1.6,1.9
explains,2.3333,1.2,2.0
explanation,2.1429,1.2,1.8333
explanations,2.1429,1.0,1.5
explicit,2.4286,2.4,1.5
exploration,2.7143,2.4,2.5
explore,2.7857,2.2,2.4615
explored,2.6,2.0,2.5556
exploring,2.7778,2.4,2.5
explosion,3.0,3.0,1.2222
export,1.75,2.0,1.8571
exports,1.8571,1.8,1.6667
exposed,1.8333,2.6,2.0
exposure,2.2727,2.0,1.5
express,2.5,1.4,2.2222
expressed,2.3333,1.0,1.875
expressing,2.5556,1.2,1.875
expression,2.3333,1.8,1.875
expressions,2.1429,2.0,1.8333
expressway,2.1818,3.0,1.5
extend,1.75,2.0,1.8571
extended,2.0,1.4,1.875
extending,2.0,1.8,2.0833
extends,1.75,1.2,1.7143
extension,1.875,2.0,1.5714
extensive,2.1818,1.0,1.8
extensively,2.1,1.0,1.7778
extent,1.75,1.2,1.7273
exterminate,2.4444,2.2,1.125
external,2.0,2.2,2.0
extra,2.0,1.8,2.2222
