word,activation,imagery,pleasantness
ages,1.625,1.2,1.6
aggravate,2.4167,2.0,1.1111
aggravating,2.2222,2.0,1.0
aggression,2.25,1.6,1.0
aggressive,2.6923,2.2,1.2
aghast,1.7778,1.2,1.0
agitated,2.2222,2.2,1.3333
ago,1.1429,1.0,1.6
agree,1.8889,2.0,2.6667
agreeable,2.0769,2.0,2.7
agreed,1.7778,1.2,2.6667
agreement,2.0,2.4,2.5714
agreements,1.6667,2.0,2.1667
agrees,1.625,1.6,2.4
agricultural,1.25,1.8,1.8
agriculture,1.3,2.2,2.2857
ah,1.5,1.4,2.4
ahead,1.6667,1.6,1.5556
aid,1.625,1.6,2.2
aided,1.7273,1.8,2.5
aids,2.0909,2.4,1.625
aim,1.8,1.8,2.5714
aimed,1.625,2.2,2.0
aims,1.875,1.6,2.4
ain*t,1.5,1.0,1.1429
air,1.4,2.4,2.0
aircraft,1.7273,2.8,1.875
airplane,1.7778,2.6,1.5
airplanes,1.8,3.0,1.7143
airport,1.7778,3.0,1.6667
akin,1.125,1.0,1.8
alarm,2.25,2.6,1.0
alarmed,2.375,1.8,1.0
alarming,2.5833,2.0,1.0
alas,1.2222,1.0,2.0
alcohol,2.2,3.0,1.7143
alcoholic,2.1667,3.0,1.0
alert,2.5,2.2,2.0
alien,1.8,3.0,1.4286
alienation,1.7273,2.0,1.0
alike,1.3636,1.4,2.25
alive,2.5,2.4,2.6667
all,1.4,1.2,2.0
alleged,1.125,1.2,1.2
alliance,1.25,1.6,2.2
allied,1.4444,1.4,2.3333
allies,1.6,2.2,1.8571
allocation,1.4167,1.2,2.0
allotment,1.5833,1.2,1.7778
allotted,1.1429,1.2,1.5
allow,1.0,1.4,2.3333
allowance,1.2857,2.6,2.5
allowances,1.8462,1.8,2.7
allowed,1.375,2.0,2.0
allowing,1.4286,1.4,1.75
allows,1.9,1.6,2.0
almost,1.6667,1.8,1.5
alone,1.4545,2.2,1.0
along,1.5,2.0,1.8571
alongside,1.3636,2.2,1.875
aloud,1.8889,1.8,2.0
already,1.5,1.4,1.7778
alright,1.5,1.6,2.2
also,1.375,1.2,1.8
alter,2.0,2.6,1.75
altered,2.0833,2.0,1.6667
alternate,2.0,1.8,1.8571
alternative,1.7,1.8,1.7143
alternatives,1.7273,1.8,1.875
alters,1.9,2.4,1.5714
although,1.6364,1.4,1.875
altogether,2.1111,2.2,2.5
aluminum,1.4286,3.0,1.5
always,1.3333,1.4,2.0
am,1.4286,1.0,2.25
amateur,1.7143,2.6,1.0
amazed,2.4167,2.0,2.5556
amazement,2.3,2.2,2.4286
amazing,2.0,1.6,2.25
ambassador,1.9,2.8,2.1429
ambiguity,1.25,1.4,1.4
ambiguous,1.6364,1.4,1.5
ambition,2.0,1.8,2.2
ambitions,2.25,1.6,2.8
ambitious,2.5,1.4,2.125
amen,2.3333,2.4,2.5
amended,1.5,1.0,1.6667
amendment,1.6,1.6,1.6
amends,1.6667,1.6,2.25
american,2.0,3.0,1.5714
amiably,1.5,1.2,2.2
amid,2.0,1.0,1.7778
ammunition,2.3333,2.6,1.0
amnesia,1.625,2.4,1.0
among,1.6667,1.6,1.8333
amount,1.7778,2.8,1.6667
amounts,2.0,2.6,1.5714
ample,2.1111,1.8,2.3333
amputate,2.8333,3.0,1.0
amusing,2.625,2.6,3.0
an,1.5,1.0,1.5
anaemia,2.0,1.0,1.4
analogy,1.5714,1.2,1.5714
analyses,2.3333,1.2,1.5
analysis,2.0,1.4,2.0
analytic,1.5714,1.0,1.4286
analyze,2.4286,1.0,1.7143
analyzed,2.1667,1.0,1.6667
anchor,1.8571,3.0,1.7143
anchored,1.5455,2.2,1.7273
ancient,1.4286,2.8,1.7143
and,1.5556,1.0,1.6667
and/or,1.8571,1.0,1.7143
angel,2.3333,3.0,2.8333
angels,2.3333,3.0,2.3333
anger,2.8889,2.0,1.0
angered,1.875,2.0,1.0
angle,2.0,2.8,1.7143
angles,1.25,2.6,1.5
anglican,1.8889,1.6,2.1111
anglo-saxon,1.7778,1.6,1.8889
angrier,2.875,2.2,1.0
angry,2.5,2.8,1.0
angular,1.6667,1.0,1.3333
animal,2.25,3.0,2.25
animals,2.5,3.0,2.375
annihilate,2.4444,1.6,1.1111
anniversary,2.0,2.4,3.0
announce,2.375,1.8,1.875
announced,2.1429,2.0,1.8571
announcement,2.0,2.0,2.0
annoys,2.8333,1.4,1.1667
annual,1.3333,1.4,1.6667
annually,1.6,1.2,1.9
anonymous,1.5714,1.0,1.5714
another,1.75,1.0,1.625
answer,2.2,1.8,2.0
answered,2.125,1.8,2.125
answering,2.2857,1.8,1.5714
answers,1.8889,1.8,1.8889
antenna,1.8889,3.0,1.7778
anti,2.0,1.0,1.0
anti-semitism,2.5,1.0,1.375
anti-slavery,2.8333,1.6,1.4286
anticipate,2.0,1.8,2.0
anticipated,1.7143,1.2,2.1429
anticipation,2.25,2.0,1.625
anticlimax,1.8,1.2,1.3
antique,1.3,3.0,1.9
anxiety,2.8,1.4,1.0
anxious,2.5,1.8,1.0
any,1.4,1.0,1.4
anybody,1.8182,1.2,1.9091
anyhow,1.5,1.0,1.3333
anyone,1.4,1.2,1.4
anything,1.8571,1.2,1.5714
anyway,1.7143,1.0,1.5714
anyways,1.6667,1.0,1.5556
anywhere,1.625,1.2,1.75
apart,2.1111,2.8,1.1111
apartment,2.1429,3.0,1.5714
apartments,1.9,3.0,1.5
apologize,2.3333,1.4,1.8333
apologizes,2.6667,1.6,2.0
apologizing,2.1111,1.6,2.0
apparatus,1.8,1.6,1.7
apparent,1.875,1.0,1.75
apparently,1.875,1.0,1.75
appeal,2.3333,1.0,1.6667
appealed,2.25,1.4,1.75
appealing,2.7778,1.6,2.2222
appeals,2.1429,1.0,2.1429
appear,1.8,1.4,1.6
appearance,2.1429,2.2,2.1429
appearances,1.8,2.4,1.6
appeared,1.6,1.6,1.6
appearing,2.2,1.4,2.1
appears,1.625,1.8,1.875
appendix,1.4,1.4,1.2
appetite,2.25,2.0,2.0
appetizer,2.0,2.8,2.3333
applause,2.8889,3.0,1.7778
applicable,1.3333,1.2,1.5
applicants,2.1667,2.4,1.5
application,1.875,2.0,1.75
applications,2.3333,2.0,1.5
applied,1.6667,1.4,1.5
applies,1.6,1.2,1.4
apply,2.0833,1.2,1.8333
applying,2.0,1.2,1.8571
appointment,2.0,2.0,1.3333
appreciate,2.1111,1.6,2.6667
appreciated,1.8333,1.2,2.6667
appreciation,1.75,1.4,2.875
apprehension,2.1667,1.6,1.3333
apprehensive,1.7778,1.8,1.1111
apprentice,1.8571,2.2,1.5714
approach,2.1111,1.6,1.7778
approached,1.8333,1.8,1.6667
approaches,2.0,2.0,1.7778
approaching,2.0,2.0,1.6667
appropriate,1.7,1.0,2.1
appropriated,1.5714,1.0,1.5714
approval,2.3333,1.6,2.8333
approve,2.2727,2.0,2.9091
approved,2.1429,1.8,2.7143
approving,2.0,1.8,2.6667
approximate,1.6667,1.4,1.5
approximately,1.4286,1.4,1.5714
april,2.1818,3.0,2.5455
apt,1.7143,1.0,1.8571
arbitrary,2.2222,1.2,1.3333
arc,1.5714,2.4,1.5714
arcane,1.6667,1.0,1.3333
arch,1.2,3.0,1.4
archaeology,1.8889,2.0,1.6667
arched,1.6667,2.8,1.3333
architect,1.7143,2.6,1.8571
architecture,1.8333,2.4,1.8333
ardent,2.1111,1.0,1.6667
are,1.6667,1.0,1.6667
area,1.375,2.0,1.625
areas,1.4286,2.0,1.5714
aren*t,1.3333,1.0,1.1667
argue,3.0,1.4,1.0
argued,2.875,1.6,1.0
argues,2.8889,1.8,1.1111
arguing,2.8571,2.0,1.0
argument,2.625,1.6,1.0
arguments,2.5714,1.8,1.0
arise,2.0,1.6,1.8333
arises,1.8333,2.0,1.8333
arising,1.8333,2.0,2.0
ark,1.4545,2.2,1.9091
arm,1.8571,3.0,1.7143
armed,1.875,2.0,1.25
armies,2.2,2.8,1.3
arms,2.0,2.6,1.5
army,2.1429,2.6,1.1429
arose,2.0,1.4,2.1111
around,2.0,1.6,1.7778
aroused,2.75,2.6,2.25
arrange,2.125,1.4,1.625
arranged,1.8333,1.6,1.5
arrangement,2.0,2.4,1.6667
arrangements,1.8571,2.0,1.7143
arranging,2.375,2.0,1.625
array,2.1,1.0,1.9
arrest,2.9,3.0,1.4
arrested,3.0,2.4,1.0
arrival,1.75,2.4,1.5
arrive,1.8,2.0,1.6
arriving,2.5,2.2,2.2
arrogant,2.6667,1.4,1.0
arrow,1.6667,3.0,1.3333
art,1.8333,2.8,2.3333
arteries,1.8571,2.2,1.2857
